id,year,month,day,hour,lat,lon,label,u200,v200,u850,v850,shear_200_850,rh600_700,t500,tcwv,sst_c,mslp_hpa,nino34_anom,romi1,romi2,amo_ssta,nao_index,qbo_30mb
AL011999,1999,6,13,0,28.8,-57.5,0,5.72583532333374,-2.0916523933410645,-3.611703872680664,3.2726991176605225,10.768746694517906,65.94762802124023,265.1372375488281,44.38998794555664,25.116754150390648,1020.677734375,-1.08,-0.38563,0.48488,0.41,1.12,15.23
AL112021,2021,8,29,18,35.9,-45.7,0,14.771369934082031,17.92305564880371,5.041015625,5.209832191467285,16.0095548238057,61.24007225036621,265.5524597167969,44.631629943847656,26.709588623046898,1008.784296875,-0.28,-0.30241,1.12939,0.69,-0.2825,-13.82
AL042019,2019,8,21,0,40.3,-57.1,0,17.738906860351562,4.027534008026123,8.843584060668945,0.8236663937568665,9.454709694132166,53.410078048706055,267.2136535644531,44.66322326660156,25.570855712890648,1016.44171875,0.15,0.15454,0.15667,0.74,-1.1684,9.97
AL012009,2009,5,28,18,37.5,-70.3,0,8.574297904968262,4.598160266876221,4.612127304077148,3.6578872203826895,4.072211840330518,76.36195755004883,264.024658203125,44.70747375488281,20.509790039062523,1011.620390625,0.18,0.23576,0.41111,0.11,1.6827,1.56
AL102000,2000,9,10,18,30.9,-70.9,1,-4.610560894012451,-2.396434783935547,-1.507132053375244,-1.47552490234375,3.237181733995208,52.38681602478027,265.9580993652344,44.90819549560547,27.90279541015628,1013.5165625,-0.52,0.14566,1.05865,0.25,-0.21,-15.52
AL041992,1992,8,21,6,23.9,-63.3,1,-0.2725884914398193,7.9928998947143555,-3.879688262939453,4.322990417480469,5.145814253608831,51.37678337097168,266.7124938964844,44.980167388916016,28.343164062500023,1018.38,-0.08,-0.21824,0.68396,-0.38,0.85,-4.75
AL142017,2017,9,23,6,31.5,-49.3,1,-1.16751229763031,1.906925201416016,-0.0701569318771362,2.053964614868164,1.1071627648433784,67.53776931762695,265.0838623046875,45.10026168823242,27.1262145996094,1017.37390625,-0.32,-0.59207,0.81761,0.77,-0.6127,-15.28
AL072007,2007,9,9,12,34.3,-76.4,0,-5.990016460418701,-8.00341510772705,0.6082689166069031,4.676833629608154,14.294267310966344,57.48981094360352,266.58203125,45.10712814331055,27.678643798828148,1015.2015625,-0.86,-0.10711,0.34757,0.39,0.7213,-28.13
AL021995,1995,7,7,18,33.2,-70.2,0,6.259141445159912,1.993498682975769,1.4424397945404053,3.109084129333496,4.944203240078815,68.70838165283203,264.9231872558594,45.112213134765625,25.841638183593773,1015.68203125,-0.21,-0.35914,0.54709,0.45,-0.22,11.74
AL052022,2022,9,1,12,38.1,-44.8,1,-1.931771278381348,-3.147279024124145,0.2170828133821487,1.5712144374847412,5.184761754886577,68.10814666748047,264.52935791015625,45.20881271362305,27.055749511718773,1018.399375,-0.93,0.94914,0.96591,0.99,-1.6105,9.8
AL112013,2013,10,1,0,27.5,-43.9,0,6.880282878875732,-4.895995140075684,0.8115718960762024,-0.6108357310295105,7.42912135812093,65.99328994750977,265.6023864746094,45.33626174926758,27.165185546875023,1016.499453125,-0.15,-1.48765,1.49606,0.78,-1.2801,11.69
AL042018,2018,8,9,0,42.4,-47.2,0,0.1736012697219848,0.2385327219963073,6.42373514175415,5.577682971954346,8.22013982909967,62.97227668762207,266.4039001464844,45.4159049987793,22.749414062500023,1011.941484375,0.28,-0.39178,0.39185,0.54,1.967,-20.41
AL152003,2003,9,25,12,29.2,-61.4,1,-2.0478515625,9.398015975952148,-1.7895201444625854,-0.0311003904789686,9.432654481811808,62.91499137878418,265.5671081542969,45.63231658935547,27.925408935546898,1012.58046875,0.18,0.64026,0.71537,0.66,0.01,-22.51
AL132004,2004,10,1,6,35.1,-47.6,1,2.15378475189209,3.3223795890808105,2.459068775177002,8.049958229064941,4.737425264012851,63.80353546142578,266.5301513671875,45.76445770263672,24.9597106933594,1013.476640625,0.64,-1.31893,1.47719,0.56,-1.1,8.0
AL011993,1993,6,2,12,28.4,-69.9,0,30.62584114074707,3.976295709609986,6.469521999359131,0.198524996638298,24.449934683355945,52.497657775878906,268.7201538085937,46.00212860107422,24.847253417968773,1005.21609375,0.15,1.13734,1.46616,-0.19,-0.59,6.55
AL272020,2020,10,20,0,25.2,-55.2,1,-0.4175478518009186,7.033729553222656,-1.940245270729065,-1.6196300983428955,8.786309844807041,67.6458511352539,266.3753356933594,46.02992630004883,27.571618652343773,1004.221171875,-1.13,-0.86725,0.90787,0.74,-0.6547,10.8
